variable,start_datetime,end_datetime,max_lat,min_lat,max_lon,min_lon,temporal_resolution,temporal_aggregation,spatial_resolution,spatial_aggregation,file_path
2m_temperature,2004-01-01 00:00,2004-12-31 23:00,90,-90,180,-180,hour,none,0.25,none,/data/era5/2m_temperature-2004.nc
2m_temperature,2005-01-01 00:00,2005-12-31 23:00,90,-90,180,-180,hour,none,0.25,none,/data/era5/2m_temperature-2005.nc
2m_temperature,2006-01-01 00:00,2006-12-31 23:00,90,-90,180,-180,hour,none,0.25,none,/data/era5/2m_temperature-2006.nc
2m_temperature,2007-01-01 00:00,2007-12-31 23:00,90,-90,180,-180,hour,none,0.25,none,/data/era5/2m_temperature-2007.nc
2m_temperature,2008-01-01 00:00,2008-12-31 23:00,90,-90,180,-180,hour,none,0.25,none,/data/era5/2m_temperature-2008.nc
2m_temperature,2009-01-01 00:00,2009-12-31 23:00,90,-90,180,-180,hour,none,0.25,none,/data/era5/2m_temperature-2009.nc
2m_temperature,2010-01-01 00:00,2010-12-31 23:00,90,-90,180,-180,hour,none,0.25,none,/data/era5/2m_temperature-2010.nc
2m_temperature,2011-01-01 00:00,2011-12-31 23:00,90,-90,180,-180,hour,none,0.25,none,/data/era5/2m_temperature-2011.nc
2m_temperature,2012-01-01 00:00,2012-12-31 23:00,90,-90,180,-180,hour,none,0.25,none,/data/era5/2m_temperature-2012.nc
2m_temperature,2013-01-01 00:00,2013-12-31 23:00,90,-90,180,-180,hour,none,0.25,none,/data/era5/2m_temperature-2013.nc
2m_temperature,2014-01-01 00:00,2014-12-31 23:00,90,-90,180,-180,hour,none,0.25,none,/data/era5/2m_temperature-2014.nc
2m_temperature,2015-01-01 00:00,2015-12-31 23:00,90,-90,180,-180,hour,none,0.25,none,/data/era5/2m_temperature-2015.nc
2m_temperature,2016-01-01 00:00,2016-12-31 23:00,90,-90,180,-180,hour,none,0.25,none,/data/era5/2m_temperature-2016.nc
2m_temperature,2017-01-01 00:00,2017-12-31 23:00,90,-90,180,-180,hour,none,0.25,none,/data/era5/2m_temperature-2017.nc
2m_temperature,2018-01-01 00:00,2018-12-31 23:00,90,-90,180,-180,hour,none,0.25,none,/data/era5/2m_temperature-2018.nc
2m_temperature,2019-01-01 00:00,2019-12-31 23:00,90,-90,180,-180,hour,none,0.25,none,/data/era5/2m_temperature-2019.nc
2m_temperature,2020-01-01 00:00,2020-12-31 23:00,90,-90,180,-180,hour,none,0.25,none,/data/era5/2m_temperature-2020.nc
2m_temperature,2021-01-01 00:00,2021-12-31 23:00,90,-90,180,-180,hour,none,0.25,none,/data/era5/2m_temperature-2021.nc
2m_temperature,2022-01-01 00:00,2022-12-31 23:00,90,-90,180,-180,hour,none,0.25,none,/data/era5/2m_temperature-2022.nc
2m_temperature,2023-01-01 00:00,2023-12-31 23:00,90,-90,180,-180,hour,none,0.25,none,/data/era5/2m_temperature-2023.nc
2m_temperature,2004-01-01 00:00,2023-12-31 23:00,90,-90,180,-180,day,min,0.25,min,/data/era5/2m_temperature-day-min.nc
2m_temperature,2004-01-01 00:00,2023-12-31 23:00,90,-90,180,-180,day,max,0.25,max,/data/era5/2m_temperature-day-max.nc
2m_temperature,2004-01-01 00:00,2023-12-31 23:00,90,-90,180,-180,day,mean,0.25,mean,/data/era5/2m_temperature-day-mean.nc
2m_temperature,2004-01-01 00:00,2023-12-31 23:00,90,-90,180,-180,month,min,0.25,min,/data/era5/2m_temperature-month-min.nc
2m_temperature,2004-01-01 00:00,2023-12-31 23:00,90,-90,180,-180,month,max,0.25,max,/data/era5/2m_temperature-month-max.nc
2m_temperature,2004-01-01 00:00,2023-12-31 23:00,90,-90,180,-180,month,mean,0.25,mean,/data/era5/2m_temperature-month-mean.nc
2m_temperature,2004-01-01 00:00,2023-12-31 23:00,90,-90,180,-180,year,min,0.25,min,/data/era5/2m_temperature-year-min.nc
2m_temperature,2004-01-01 00:00,2023-12-31 23:00,90,-90,180,-180,year,max,0.25,max,/data/era5/2m_temperature-year-max.nc
2m_temperature,2004-01-01 00:00,2023-12-31 23:00,90,-90,180,-180,year,mean,0.25,mean,/data/era5/2m_temperature-year-mean.nc
2m_temperature,2004-01-01 00:00,2023-12-31 23:00,90,-90,180,-180,day,min,0.5,min,/data/era5/2m_temperature-day-min_50.nc
2m_temperature,2004-01-01 00:00,2023-12-31 23:00,90,-90,180,-180,day,max,0.5,max,/data/era5/2m_temperature-day-max_50.nc
2m_temperature,2004-01-01 00:00,2023-12-31 23:00,90,-90,180,-180,day,mean,0.5,mean,/data/era5/2m_temperature-day-mean_50.nc
2m_temperature,2004-01-01 00:00,2023-12-31 23:00,90,-90,180,-180,month,min,0.5,min,/data/era5/2m_temperature-month-min_50.nc
2m_temperature,2004-01-01 00:00,2023-12-31 23:00,90,-90,180,-180,month,max,0.5,max,/data/era5/2m_temperature-month-max_50.nc
2m_temperature,2004-01-01 00:00,2023-12-31 23:00,90,-90,180,-180,month,mean,0.5,mean,/data/era5/2m_temperature-month-mean_50.nc
2m_temperature,2004-01-01 00:00,2023-12-31 23:00,90,-90,180,-180,year,min,0.5,min,/data/era5/2m_temperature-year-min_50.nc
2m_temperature,2004-01-01 00:00,2023-12-31 23:00,90,-90,180,-180,year,max,0.5,max,/data/era5/2m_temperature-year-max_50.nc
2m_temperature,2004-01-01 00:00,2023-12-31 23:00,90,-90,180,-180,year,mean,0.5,mean,/data/era5/2m_temperature-year-mean_50.nc
2m_temperature,2004-01-01 00:00,2023-12-31 23:00,90,-90,180,-180,day,min,1.0,min,/data/era5/2m_temperature-day-min_100.nc
2m_temperature,2004-01-01 00:00,2023-12-31 23:00,90,-90,180,-180,day,max,1.0,max,/data/era5/2m_temperature-day-max_100.nc
2m_temperature,2004-01-01 00:00,2023-12-31 23:00,90,-90,180,-180,day,mean,1.0,mean,/data/era5/2m_temperature-day-mean_100.nc
2m_temperature,2004-01-01 00:00,2023-12-31 23:00,90,-90,180,-180,month,min,1.0,min,/data/era5/2m_temperature-month-min_100.nc
2m_temperature,2004-01-01 00:00,2023-12-31 23:00,90,-90,180,-180,month,max,1.0,max,/data/era5/2m_temperature-month-max_100.nc
2m_temperature,2004-01-01 00:00,2023-12-31 23:00,90,-90,180,-180,month,mean,1.0,mean,/data/era5/2m_temperature-month-mean_100.nc
2m_temperature,2004-01-01 00:00,2023-12-31 23:00,90,-90,180,-180,year,min,1.0,min,/data/era5/2m_temperature-year-min_100.nc
2m_temperature,2004-01-01 00:00,2023-12-31 23:00,90,-90,180,-180,year,max,1.0,max,/data/era5/2m_temperature-year-max_100.nc
2m_temperature,2004-01-01 00:00,2023-12-31 23:00,90,-90,180,-180,year,mean,1.0,mean,/data/era5/2m_temperature-year-mean_100.nc